title:left, start timestamp:1638427502.119345, stop timestamp:1638427507.179599, headset type:EPOCX, headset serial:E202044C, headset firmware:710, channels:55, sampling rate:128, samples:649       , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4
1638427502.119345,71.000000,0.000000,4187.051270,4301.794922,4092.435791,4164.487305,4265.769043,4297.436035,4334.358887,4341.153809,4313.333496,4233.205078,4411.025879,4264.358887,4427.563965,4377.051270,2414.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427502.127254,72.000000,0.000000,4188.589844,4297.179688,4098.461426,4169.102539,4264.615234,4295.384766,4334.487305,4343.205078,4311.282227,4232.051270,4416.922852,4269.102539,4429.871582,4377.307617,2339.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427502.135063,73.000000,0.000000,4191.025879,4297.307617,4103.717773,4158.461426,4254.743652,4295.128418,4334.487305,4345.769043,4315.256348,4237.307617,4418.717773,4278.846191,4434.615234,4378.974121,2314.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427502.142972,74.000000,0.000000,4187.307617,4293.846191,4096.410156,4149.102539,4250.897461,4292.307617,4330.256348,4351.666504,4326.666504,4246.922852,4422.692383,4282.436035,4435.256348,4372.820313,2322.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427502.150780,75.000000,0.000000,4187.948730,4283.461426,4096.153809,4152.692383,4253.077148,4284.102539,4325.897461,4362.436035,4337.436035,4252.948730,4433.333496,4282.563965,4437.307617,4380.512695,940.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427502.158689,76.000000,0.000000,4187.948730,4286.794922,4096.794922,4153.205078,4253.461426,4280.641113,4320.512695,4360.641113,4337.948730,4252.436035,4428.461426,4277.307617,4434.615234,4379.358887,2747.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427502.166498,77.000000,0.000000,4180.000000,4296.922852,4085.512939,4150.128418,4251.282227,4279.230957,4310.384766,4339.358887,4325.769043,4245.384766,4410.256348,4263.589844,4425.000000,4364.102539,3401.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427502.174207,78.000000,0.000000,4175.769043,4287.948730,4080.128174,4151.282227,4250.512695,4276.538574,4297.692383,4320.641113,4312.820313,4242.051270,4403.461426,4248.589844,4423.205078,4367.692383,2322.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427502.182015,79.000000,0.000000,4173.205078,4276.794922,4072.179443,4144.102539,4251.794922,4275.512695,4293.717773,4315.384766,4307.820313,4241.410156,4404.358887,4238.974121,4420.512695,4367.692383,940.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
1638427502.189724,80.000000,0.000000,4169.102539,4281.666504,4067.692383,4136.922852,4258.589844,4281.794922,4307.820313,4320.128418,4309.871582,4236.666504,4401.538574,4237.948730,4410.512695,4368.589844,2747.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,83.333336,,,,,,,,,,,,,,,,
